Timestamp_ms,Engine,Latency_us,Operation
115,RocksDB+Dual,1,PUT
116,RocksDB+Dual,2,PUT
116,RocksDB+Dual,1,PUT
116,RocksDB+Dual,1,PUT
116,RocksDB+Dual,1,PUT
116,RocksDB+Dual,1,PUT
116,RocksDB+Dual,1,PUT
117,RocksDB+Dual,1,PUT
117,RocksDB+Dual,2,PUT
117,RocksDB+Dual,1,PUT
117,RocksDB+Dual,1,PUT
117,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
118,RocksDB+Dual,1,PUT
119,RocksDB+Dual,1,PUT
119,RocksDB+Dual,1,PUT
119,RocksDB+Dual,1,PUT
119,RocksDB+Dual,1,PUT
119,RocksDB+Dual,1,PUT
119,RocksDB+Dual,1,PUT
119,RocksDB+Dual,1,PUT
120,RocksDB+Dual,1,PUT
120,RocksDB+Dual,1,PUT
120,RocksDB+Dual,1,PUT
120,RocksDB+Dual,1,PUT
120,RocksDB+Dual,1,PUT
120,RocksDB+Dual,1,PUT
120,RocksDB+Dual,1,PUT
121,RocksDB+Dual,1,PUT
121,RocksDB+Dual,1,PUT
121,RocksDB+Dual,1,PUT
122,RocksDB+Dual,1,PUT
122,RocksDB+Dual,1,PUT
122,RocksDB+Dual,2,PUT
122,RocksDB+Dual,1,PUT
122,RocksDB+Dual,1,PUT
122,RocksDB+Dual,1,PUT
122,RocksDB+Dual,1,PUT
122,RocksDB+Dual,1,PUT
122,RocksDB+Dual,1,PUT
122,RocksDB+Dual,1,PUT
123,RocksDB+Dual,0,PUT
123,RocksDB+Dual,0,PUT
123,RocksDB+Dual,0,PUT
123,RocksDB+Dual,0,PUT
123,RocksDB+Dual,0,PUT
124,RocksDB+Dual,0,PUT
124,RocksDB+Dual,0,PUT
124,RocksDB+Dual,0,PUT
124,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,1,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
125,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
126,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
127,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,1,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
128,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,1,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
129,RocksDB+Dual,0,PUT
130,RocksDB+Dual,0,PUT
130,RocksDB+Dual,0,PUT
130,RocksDB+Dual,0,PUT
130,RocksDB+Dual,0,PUT
130,RocksDB+Dual,0,PUT
130,RocksDB+Dual,0,PUT
130,RocksDB+Dual,0,PUT
130,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
131,RocksDB+Dual,0,PUT
132,RocksDB+Dual,0,PUT
132,RocksDB+Dual,0,PUT
132,RocksDB+Dual,0,PUT
132,RocksDB+Dual,0,PUT
132,RocksDB+Dual,0,PUT
132,RocksDB+Dual,0,PUT
132,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
133,RocksDB+Dual,0,PUT
134,RocksDB+Dual,0,PUT
134,RocksDB+Dual,0,PUT
134,RocksDB+Dual,0,PUT
134,RocksDB+Dual,0,PUT
134,RocksDB+Dual,0,PUT
135,RocksDB+Dual,0,PUT
135,RocksDB+Dual,0,PUT
135,RocksDB+Dual,0,PUT
135,RocksDB+Dual,1,PUT
135,RocksDB+Dual,0,PUT
135,RocksDB+Dual,0,PUT
135,RocksDB+Dual,0,PUT
135,RocksDB+Dual,0,PUT
135,RocksDB+Dual,0,PUT
135,RocksDB+Dual,0,PUT
136,RocksDB+Dual,0,PUT
136,RocksDB+Dual,0,PUT
136,RocksDB+Dual,0,PUT
136,RocksDB+Dual,2,PUT
136,RocksDB+Dual,0,PUT
136,RocksDB+Dual,0,PUT
136,RocksDB+Dual,0,PUT
136,RocksDB+Dual,0,PUT
136,RocksDB+Dual,0,PUT
136,RocksDB+Dual,0,PUT
136,RocksDB+Dual,0,PUT
